,score_x,dim_4_layer_1,dim_4_layer_2,dim_4_layer_3,dim_4_layer_4,dim_4_layer_5,dim_4_layer_6,dim_4_layer_7,dim_4_layer_8,dim_4_layer_9,dim_4_layer_10,dim_4_layer_11,dim_4_layer_12,dim_4_layer_13,dim_4_layer_14,dim_4_layer_15
16,0.08,0.3301,0.2551,0.1997,0.1623,0.1298,0.1078,0.0903999999999999,0.0767,0.068,0.0560999999999999,0.0436999999999999,0.0399,0.0404,0.0310999999999999,0.029
17,0.085,0.36,0.2755000000000001,0.2176,0.1764,0.1418,0.1163,0.0980999999999999,0.0822,0.0735,0.0608999999999999,0.0476999999999999,0.0434,0.0432,0.0346,0.0318
18,0.09,0.3837,0.2919000000000001,0.2315,0.1867,0.1521,0.1252,0.1050999999999999,0.0884,0.0785,0.0655999999999999,0.0519999999999999,0.0461,0.0461,0.0371,0.0339
19,0.095,0.4055999999999999,0.3091000000000001,0.2431,0.1983,0.1618,0.1338,0.1106999999999999,0.0944,0.0838,0.0700999999999999,0.0556999999999999,0.05,0.0484,0.0405,0.0366
20,0.1,0.4314999999999999,0.3261000000000001,0.2566,0.2099,0.1712,0.1422,0.1167999999999999,0.1012,0.0884,0.0745999999999999,0.0606999999999999,0.0534,0.0519,0.0432,0.0387
21,0.105,0.4574999999999999,0.3421000000000001,0.2719,0.2227,0.1835,0.1523,0.1235999999999999,0.1069,0.0934,0.0799999999999999,0.0652,0.0579,0.0546,0.0458,0.041299999999999996
22,0.11,0.4813999999999999,0.3583000000000001,0.286,0.2354,0.1945,0.1611,0.1298999999999999,0.1132,0.0986,0.0856999999999999,0.0686,0.0612,0.0579,0.0493,0.0452
23,0.115,0.5029999999999999,0.3726000000000001,0.2999,0.2474,0.2057,0.1703,0.1357999999999999,0.1199,0.105,0.0901999999999999,0.0732999999999999,0.0653,0.0618,0.053,0.0469
24,0.12,0.5239999999999999,0.3891000000000001,0.313,0.26,0.2164,0.1802,0.1453999999999999,0.1258,0.1096,0.0969999999999999,0.0774999999999999,0.0696,0.0672,0.0558,0.049199999999999994
25,0.125,0.5398,0.4050000000000001,0.3274000000000001,0.2719,0.2292,0.1907,0.1532999999999999,0.1325,0.1167,0.1023999999999999,0.0844999999999999,0.0752,0.0702,0.0593,0.052199999999999996
26,0.13,0.5589999999999999,0.4229000000000001,0.3415000000000001,0.2873,0.2416,0.2013,0.1629999999999999,0.142,0.125,0.1099,0.0899,0.0801,0.0748,0.0641,0.055099999999999996
27,0.135,0.5704999999999999,0.4381000000000001,0.3556000000000001,0.2994,0.2531,0.2113,0.1708999999999999,0.1501,0.1319,0.1164,0.0954,0.0835,0.0797,0.0662,0.057699999999999994
28,0.14,0.5839999999999999,0.4543000000000001,0.3679,0.3133000000000001,0.2645,0.2224,0.1814999999999999,0.1593,0.1396,0.1233,0.1008,0.0872,0.0845,0.0703,0.059399999999999994
29,0.145,0.5963999999999998,0.4663000000000001,0.3812,0.3267000000000001,0.2753,0.2335,0.1904999999999999,0.167,0.1463,0.1307,0.1073,0.0916,0.0877,0.0739,0.06219999999999999
30,0.15,0.6099999999999998,0.4789000000000001,0.3964,0.3386000000000001,0.2876,0.2425,0.1997999999999999,0.1766,0.153,0.1356,0.1137,0.0967,0.0918,0.0777,0.0667
