,score_x,qubits_4_layer_1,qubits_4_layer_2,qubits_4_layer_3,qubits_4_layer_4,qubits_4_layer_5,qubits_4_layer_6,qubits_4_layer_7,qubits_4_layer_8,qubits_4_layer_9,qubits_4_layer_10,qubits_4_layer_11,qubits_4_layer_12,qubits_4_layer_13,qubits_4_layer_14,qubits_4_layer_15,qubits_3_layer_1,qubits_3_layer_2,qubits_3_layer_3,qubits_3_layer_4,qubits_3_layer_5,qubits_3_layer_6,qubits_3_layer_7,qubits_3_layer_8,qubits_3_layer_9,qubits_3_layer_10,qubits_3_layer_11,qubits_3_layer_12,qubits_3_layer_13,qubits_3_layer_14,qubits_3_layer_15,qubits_3_layer_16,qubits_3_layer_17,qubits_5_layer_1,qubits_5_layer_2,qubits_5_layer_3,qubits_5_layer_4,qubits_5_layer_5,qubits_5_layer_6,qubits_5_layer_7,qubits_5_layer_8,qubits_5_layer_9
23,0.115,0.503,0.3726,0.2999,0.2474,0.2057,0.1703,0.1358,0.1199,0.105,0.0902,0.0733,0.0653,0.0618,0.053,0.0469,0.1246,0.0678,0.0319,0.0173,0.0073,0.0047,0.0023,0.0015,0.0011,0.0008,0.0004,0.0001,0.0002,0.0001,0.0,0.0,0.0001,0.7891,0.7004999999999999,0.6429,0.5844,0.5338999999999999,0.4934,0.4564,0.4221,0.38659999999999994
24,0.12,0.524,0.3891,0.313,0.26,0.2164,0.1802,0.1454,0.1258,0.1096,0.097,0.0775,0.0696,0.0672,0.0558,0.0492,0.1318,0.0715,0.0336,0.0186,0.0081,0.005,0.0027,0.0016,0.0012,0.0008,0.0005,0.0001,0.0002,0.0001,0.0,0.0,0.0001,0.8035,0.7192,0.6634,0.6066,0.5566,0.5147,0.4756999999999999,0.4434,0.40819999999999995
25,0.125,0.5398,0.405,0.3274,0.2719,0.2292,0.1907,0.1533,0.1325,0.1167,0.1024,0.0845,0.0752,0.0702,0.0593,0.0522,0.1368,0.0761,0.0361,0.02,0.0088,0.005,0.0027,0.0017,0.0012,0.0008,0.0006,0.0002,0.0002,0.0001,0.0,0.0,0.0001,0.814,0.7404,0.6843,0.6279,0.5809,0.535,0.4982,0.4643,0.4260999999999999
26,0.13,0.559,0.4229,0.3415,0.2873,0.2416,0.2013,0.163,0.142,0.125,0.1099,0.0899,0.0801,0.0748,0.0641,0.0551,0.1451,0.0827,0.0385,0.0215,0.0093,0.0057,0.003,0.002,0.0014,0.0008,0.0006,0.0002,0.0002,0.0001,0.0,0.0,0.0001,0.8268,0.7605999999999999,0.7066,0.6538,0.6089,0.5611,0.5265,0.4891,0.45009999999999994
27,0.135,0.5705,0.4381,0.3556,0.2994,0.2531,0.2113,0.1709,0.1501,0.1319,0.1164,0.0954,0.0835,0.0797,0.0662,0.0577,0.1535,0.0878,0.0408,0.0229,0.01,0.006,0.0034,0.0021,0.0015,0.0008,0.0006,0.0002,0.0002,0.0001,0.0,0.0,0.0001,0.8376,0.7776,0.7254,0.6764,0.6317,0.5833,0.5475,0.5093,0.4709999999999999
28,0.14,0.584,0.4543,0.3679,0.3133,0.2645,0.2224,0.1815,0.1593,0.1396,0.1233,0.1008,0.0872,0.0845,0.0703,0.0594,0.1611,0.0931,0.043,0.0241,0.011,0.0066,0.0035,0.0023,0.0016,0.0008,0.0007,0.0002,0.0002,0.0001,0.0,0.0,0.0002,0.8472000000000001,0.7935,0.7432000000000001,0.6963,0.6528,0.6050000000000001,0.5697,0.5278999999999999,0.4908999999999999
29,0.145,0.5964,0.4663,0.3812,0.3267,0.2753,0.2335,0.1905,0.167,0.1463,0.1307,0.1073,0.0916,0.0877,0.0739,0.0622,0.1691,0.0974,0.0456,0.0257,0.0114,0.0073,0.0036,0.0026,0.0016,0.0008,0.0007,0.0002,0.0003,0.0001,0.0,0.0,0.0002,0.8564,0.8097,0.7608,0.7162000000000001,0.6724,0.6260000000000001,0.5906,0.5477,0.5144999999999998
30,0.15,0.61,0.4789,0.3964,0.3386,0.2876,0.2425,0.1998,0.1766,0.153,0.1356,0.1137,0.0967,0.0918,0.0777,0.0667,0.1784,0.103,0.0494,0.0269,0.012,0.0076,0.004,0.0028,0.0017,0.0009,0.0007,0.0003,0.0003,0.0001,0.0,0.0,0.0002,0.8638,0.8209,0.7758,0.7338,0.6922,0.6466000000000001,0.6102,0.5678,0.5326999999999998
31,0.155,0.6235,0.4934,0.4085,0.3516,0.2981,0.2543,0.2096,0.1848,0.1608,0.1414,0.1192,0.1009,0.0969,0.0811,0.0705,0.1881,0.1095,0.0523,0.0285,0.0126,0.008,0.0044,0.0031,0.0021,0.0011,0.0009,0.0003,0.0003,0.0001,0.0,0.0,0.0002,0.8708,0.833,0.7928000000000001,0.7503,0.7118,0.6644000000000001,0.6297999999999999,0.5882,0.5521999999999998
32,0.16,0.6371,0.5061,0.4224,0.3641,0.311,0.2652,0.2191,0.1925,0.1682,0.1477,0.1245,0.1058,0.1021,0.0861,0.0744,0.1987,0.1155,0.0562,0.0304,0.0136,0.0083,0.0048,0.0031,0.0022,0.0011,0.0011,0.0004,0.0003,0.0001,0.0001,0.0,0.0002,0.876,0.8439,0.807,0.7666999999999999,0.7315,0.6819000000000001,0.6488999999999999,0.6069,0.5735999999999998
